"Row.Id","ID","Mating","RIX_ID","Cohort","Sex","Virus","Date_Infected","Timepoint","D0","D7","D7pct","is.baric","uniqueid","dam","sire","ccdam","ccsire","ccrix"
2490,"8002x3032_0116","8002x3032",116,"8_13viii",FALSE,"flu","2013-08-19",7,21.1,17.9,84.8341232227488,0,"8002x3032_116_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2491,"8002x3032_0117","8002x3032",117,"8_13viii",FALSE,"flu","2013-08-19",7,21,18.05,85.9523809523809,0,"8002x3032_117_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
2492,"8002x3032_0118","8002x3032",118,"8_13viii",FALSE,"flu","2013-08-19",7,21.65,19.75,91.2240184757506,0,"8002x3032_118_8_13viii",8002,3032,"CC032","CC017","CC032xCC017"
902,"8002x8010_0001","8002x8010",1,"12_13xii",FALSE,"flu","2013-12-09",10,22.45,22.25,99.109131403118,0,"8002x8010_1_12_13xii",8002,8010,"CC032","CC013","CC032xCC013"
903,"8002x8010_0002","8002x8010",2,"12_13xii",FALSE,"flu","2013-12-09",10,24.3,23.6,97.119341563786,0,"8002x8010_2_12_13xii",8002,8010,"CC032","CC013","CC032xCC013"
904,"8002x8010_0003","8002x8010",3,"12_13xii",FALSE,"flu","2013-12-09",10,24.15,23.3,96.48033126294,0,"8002x8010_3_12_13xii",8002,8010,"CC032","CC013","CC032xCC013"
905,"8002x8010_0012","8002x8010",12,"12_13xii",FALSE,"flu","2013-12-09",10,25.9,25,96.5250965250965,0,"8002x8010_12_12_13xii",8002,8010,"CC032","CC013","CC032xCC013"
115,"8002x8010_0076","8002x8010",76,"1_14i",FALSE,"flu","2014-01-20",15,24.66,22.55,91.4436334144363,0,"8002x8010_76_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
116,"8002x8010_0077","8002x8010",77,"1_14i",FALSE,"flu","2014-01-20",15,22.4,22.29,99.5089285714286,0,"8002x8010_77_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
117,"8002x8010_0078","8002x8010",78,"1_14i",FALSE,"flu","2014-01-20",15,22.37,22.72,101.564595440322,0,"8002x8010_78_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
112,"8002x8010_0087","8002x8010",87,"1_14i",FALSE,"flu","2014-01-20",10,23.03,24.11,104.689535388624,0,"8002x8010_87_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
113,"8002x8010_0088","8002x8010",88,"1_14i",FALSE,"flu","2014-01-20",10,22.43,22.61,100.802496656264,0,"8002x8010_88_1_14i",8002,8010,"CC032","CC013","CC032xCC013"
